"topic","message","modifiedAt"
"revspace/sensors/humidity","45.22 %","Fri Jun 19 2015 09:56:18 GMT-0400 (EDT)"
"revspace/sensors/geiger","8 CPM","Fri Jun 19 2015 09:56:19 GMT-0400 (EDT)"
"revspace/sensors/co2","410 PPM","Fri Jun 19 2015 09:56:20 GMT-0400 (EDT)"
"revspace/sensors/2-t3","14.25 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/2-t1","23.00 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-3","29","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-7","20","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-8","23","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/2-t2","22.75 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-9","52","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/5-t0","24.25 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/3-t0","25.25 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-4","19","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/nose/temperature","24","Fri Jun 19 2015 09:55:54 GMT-0400 (EDT)"
"revspace/sensors/6-t0","18.50 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-135","94","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/7-t0","24.50 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/humidity","38","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/20-t0","21.50 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-6","17","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
"revspace/sensors/4-t0","23.75 °C","Fri Jun 19 2015 09:56:12 GMT-0400 (EDT)"
"revspace/sensors/nose/MQ-2","0","Fri Jun 19 2015 09:55:55 GMT-0400 (EDT)"
